ICDCMCode,DiagnosisDesc,TotalDiag
B27.89,OTHER INFECTIOUS MONONUCLEOSIS WITH OTHER COMPLICATION,29
B27.90,"INFECTIOUS MONONUCLEOSIS, UNSPECIFIED WITHOUT COMPLICATION",4437
B27.92,"INFECTIOUS MONONUCLEOSIS, UNSPECIFIED WITH MENINGITIS",2
B27.99,"INFECTIOUS MONONUCLEOSIS, UNSP WITH OTHER COMPLICATION",159
B30.0,KERATOCONJUNCTIVITIS DUE TO ADENOVIRUS,34
B30.1,CONJUNCTIVITIS DUE TO ADENOVIRUS,93
B30.2,VIRAL PHARYNGOCONJUNCTIVITIS,17
B30.3,ACUTE EPIDEMIC HEMORRHAGIC CONJUNCTIVITIS (ENTEROVIRAL),52
B30.8,OTHER VIRAL CONJUNCTIVITIS,135
B30.9,"VIRAL CONJUNCTIVITIS, UNSPECIFIED",5969
B33.0,EPIDEMIC MYALGIA,17
B33.20,"VIRAL CARDITIS, UNSPECIFIED",1
B33.21,VIRAL ENDOCARDITIS,1
B33.22,VIRAL MYOCARDITIS,12
B33.23,VIRAL PERICARDITIS,19
B33.24,VIRAL CARDIOMYOPATHY,15
B33.3,"RETROVIRUS INFECTIONS, NOT ELSEWHERE CLASSIFIED",2
B33.4,HANTAVIRUS (CARDIO)-PULMONARY SYNDROME [HPS] [HCPS],3
B33.8,OTHER SPECIFIED VIRAL DISEASES,4600
B34.0,"ADENOVIRUS INFECTION, UNSPECIFIED",5403
B34.1,"ENTEROVIRUS INFECTION, UNSPECIFIED",3122
B34.2,"CORONAVIRUS INFECTION, UNSPECIFIED",1464
B34.3,"PARVOVIRUS INFECTION, UNSPECIFIED",37
B34.4,"PAPOVAVIRUS INFECTION, UNSPECIFIED",1
B34.8,OTHER VIRAL INFECTIONS OF UNSPECIFIED SITE,18615
B34.9,"VIRAL INFECTION, UNSPECIFIED",208882
B35.0,TINEA BARBAE AND TINEA CAPITIS,1396
B35.1,TINEA UNGUIUM,3557
B35.2,TINEA MANUUM,137
B35.3,TINEA PEDIS,6070
B35.4,TINEA CORPORIS,4606
B35.5,TINEA IMBRICATA,1
B35.6,TINEA CRURIS,3581
B35.8,OTHER DERMATOPHYTOSES,222
B35.9,"DERMATOPHYTOSIS, UNSPECIFIED",1221
B36.0,PITYRIASIS VERSICOLOR,520
B36.1,TINEA NIGRA,4
B36.8,OTHER SPECIFIED SUPERFICIAL MYCOSES,107
B36.9,"SUPERFICIAL MYCOSIS, UNSPECIFIED",1432
B37.0,CANDIDAL STOMATITIS,5100
B37.1,PULMONARY CANDIDIASIS,10
B37.2,CANDIDIASIS OF SKIN AND NAIL,4424
B37.31,ACUTE CANDIDIASIS OF VULVA AND VAGINA,11189
B37.32,CHRONIC CANDIDIASIS OF VULVA AND VAGINA,96
B37.41,CANDIDAL CYSTITIS AND URETHRITIS,207
B37.42,CANDIDAL BALANITIS,530
B37.49,OTHER UROGENITAL CANDIDIASIS,1034
B37.7,CANDIDAL SEPSIS,18
B37.81,CANDIDAL ESOPHAGITIS,279
B37.82,CANDIDAL ENTERITIS,1
B37.83,CANDIDAL CHEILITIS,11
B37.84,CANDIDAL OTITIS EXTERNA,18
B37.89,OTHER SITES OF CANDIDIASIS,440
B37.9,"CANDIDIASIS, UNSPECIFIED",3584
B38.0,ACUTE PULMONARY COCCIDIOIDOMYCOSIS,301
B38.1,CHRONIC PULMONARY COCCIDIOIDOMYCOSIS,64
B38.2,"PULMONARY COCCIDIOIDOMYCOSIS, UNSPECIFIED",212
B38.3,CUTANEOUS COCCIDIOIDOMYCOSIS,14
B38.4,COCCIDIOIDOMYCOSIS MENINGITIS,54
B38.7,DISSEMINATED COCCIDIOIDOMYCOSIS,72
B38.81,PROSTATIC COCCIDIOIDOMYCOSIS,1
B38.89,OTHER FORMS OF COCCIDIOIDOMYCOSIS,8
B38.9,"COCCIDIOIDOMYCOSIS, UNSPECIFIED",459
B39.0,ACUTE PULMONARY HISTOPLASMOSIS CAPSULATI,4
B39.2,"PULMONARY HISTOPLASMOSIS CAPSULATI, UNSPECIFIED",2
B39.3,DISSEMINATED HISTOPLASMOSIS CAPSULATI,2
B39.4,"HISTOPLASMOSIS CAPSULATI, UNSPECIFIED",1
B39.9,"HISTOPLASMOSIS, UNSPECIFIED",16
B40.0,ACUTE PULMONARY BLASTOMYCOSIS,18
B40.1,CHRONIC PULMONARY BLASTOMYCOSIS,1
B40.2,"PULMONARY BLASTOMYCOSIS, UNSPECIFIED",2
B41.9,"PARACOCCIDIOIDOMYCOSIS, UNSPECIFIED",2
B42.1,LYMPHOCUTANEOUS SPOROTRICHOSIS,3
B42.89,OTHER FORMS OF SPOROTRICHOSIS,7
B42.9,"SPOROTRICHOSIS, UNSPECIFIED",28
B43.0,CUTANEOUS CHROMOMYCOSIS,1
B43.2,SUBCUTANEOUS PHEOMYCOTIC ABSCESS AND CYST,17
B43.8,OTHER FORMS OF CHROMOMYCOSIS,1
B43.9,"CHROMOMYCOSIS, UNSPECIFIED",9
B44.0,INVASIVE PULMONARY ASPERGILLOSIS,15
B44.1,OTHER PULMONARY ASPERGILLOSIS,58
B44.81,ALLERGIC BRONCHOPULMONARY ASPERGILLOSIS,99
B44.89,OTHER FORMS OF ASPERGILLOSIS,8
B44.9,"ASPERGILLOSIS, UNSPECIFIED",76
B45.0,PULMONARY CRYPTOCOCCOSIS,17
B45.1,CEREBRAL CRYPTOCOCCOSIS,40
B45.2,CUTANEOUS CRYPTOCOCCOSIS,1
B45.7,DISSEMINATED CRYPTOCOCCOSIS,12
B45.8,OTHER FORMS OF CRYPTOCOCCOSIS,2
B45.9,"CRYPTOCOCCOSIS, UNSPECIFIED",33
B46.0,PULMONARY MUCORMYCOSIS,2
B46.1,RHINOCEREBRAL MUCORMYCOSIS,1
B46.3,CUTANEOUS MUCORMYCOSIS,1
B46.5,"MUCORMYCOSIS, UNSPECIFIED",13
B47.9,"MYCETOMA, UNSPECIFIED",15
B48.2,ALLESCHERIASIS,1
B48.8,OTHER SPECIFIED MYCOSES,92
B49.,UNSPECIFIED MYCOSIS,455
B50.8,OTHER SEVERE AND COMPLICATED PLASMODIUM FALCIPARUM MALARIA,1
B50.9,"PLASMODIUM FALCIPARUM MALARIA, UNSPECIFIED",6
B51.9,PLASMODIUM VIVAX MALARIA WITHOUT COMPLICATION,6
B52.9,PLASMODIUM MALARIAE MALARIA WITHOUT COMPLICATION,1
B53.8,"OTHER MALARIA, NOT ELSEWHERE CLASSIFIED",1
B54.,UNSPECIFIED MALARIA,64
B55.0,VISCERAL LEISHMANIASIS,1
B55.1,CUTANEOUS LEISHMANIASIS,3
B55.2,MUCOCUTANEOUS LEISHMANIASIS,1
B55.9,"LEISHMANIASIS, UNSPECIFIED",3
B56.9,"AFRICAN TRYPANOSOMIASIS, UNSPECIFIED",2
B57.0,ACUTE CHAGAS' DISEASE WITH HEART INVOLVEMENT,1
B57.1,ACUTE CHAGAS' DISEASE WITHOUT HEART INVOLVEMENT,2
B57.2,CHAGAS' DISEASE (CHRONIC) WITH HEART INVOLVEMENT,31
B57.40,"CHAGAS' DISEASE WITH NERVOUS SYSTEM INVOLVEMENT, UNSPECIFIED",1
B58.00,"TOXOPLASMA OCULOPATHY, UNSPECIFIED",11
B58.01,TOXOPLASMA CHORIORETINITIS,8
B58.09,OTHER TOXOPLASMA OCULOPATHY,1
B58.2,TOXOPLASMA MENINGOENCEPHALITIS,2
B58.89,TOXOPLASMOSIS WITH OTHER ORGAN INVOLVEMENT,2
B58.9,"TOXOPLASMOSIS, UNSPECIFIED",17
B59.,PNEUMOCYSTOSIS,41
B60.00,"BABESIOSIS, UNSPECIFIED",5
B60.10,"ACANTHAMEBIASIS, UNSPECIFIED",1
B60.13,KERATOCONJUNCTIVITIS DUE TO ACANTHAMOEBA,4
B65.0,SCHISTOSOMIASIS DUE TO SCHISTOSOMA HAEMATOBIUM,1
B65.3,CERCARIAL DERMATITIS,19
B65.9,"SCHISTOSOMIASIS, UNSPECIFIED",4
B66.3,FASCIOLIASIS,2
B66.8,OTHER SPECIFIED FLUKE INFECTIONS,1
B66.9,"FLUKE INFECTION, UNSPECIFIED",1
B67.31,"ECHINOCOCCUS GRANULOSUS INFECTION, THYROID GLAND",2
B67.4,"ECHINOCOCCUS GRANULOSUS INFECTION, UNSPECIFIED",3
B67.90,"ECHINOCOCCOSIS, UNSPECIFIED",3
B67.99,OTHER ECHINOCOCCOSIS,1
B68.0,TAENIA SOLIUM TAENIASIS,1
B68.1,TAENIA SAGINATA TAENIASIS,1
B68.9,"TAENIASIS, UNSPECIFIED",10
B69.0,CYSTICERCOSIS OF CENTRAL NERVOUS SYSTEM,242
B69.89,CYSTICERCOSIS OF OTHER SITES,3
B69.9,"CYSTICERCOSIS, UNSPECIFIED",34
B71.8,OTHER SPECIFIED CESTODE INFECTIONS,5
B71.9,"CESTODE INFECTION, UNSPECIFIED",56
B72.,DRACUNCULIASIS,2
B73.1,ONCHOCERCIASIS WITHOUT EYE DISEASE,2
B74.1,FILARIASIS DUE TO BRUGIA MALAYI,1
B74.8,OTHER FILARIASES,1
B74.9,"FILARIASIS, UNSPECIFIED",4
B75.,TRICHINELLOSIS,8
B76.0,ANCYLOSTOMIASIS,3
B76.9,"HOOKWORM DISEASE, UNSPECIFIED",24
B77.9,"ASCARIASIS, UNSPECIFIED",19
B78.0,INTESTINAL STRONGYLOIDIASIS,1
B78.1,CUTANEOUS STRONGYLOIDIASIS,1
B78.9,"STRONGYLOIDIASIS, UNSPECIFIED",7
B79.,TRICHURIASIS,5
B80.,ENTEROBIASIS,656
B81.0,ANISAKIASIS,2
B81.2,TRICHOSTRONGYLIASIS,1
B81.8,OTHER SPECIFIED INTESTINAL HELMINTHIASES,8
B82.0,"INTESTINAL HELMINTHIASIS, UNSPECIFIED",51
B82.9,"INTESTINAL PARASITISM, UNSPECIFIED",74
B83.0,VISCERAL LARVA MIGRANS,3
B83.8,OTHER SPECIFIED HELMINTHIASES,8
B83.9,"HELMINTHIASIS, UNSPECIFIED",146
B85.0,PEDICULOSIS DUE TO PEDICULUS HUMANUS CAPITIS,975
B85.1,PEDICULOSIS DUE TO PEDICULUS HUMANUS CORPORIS,298
B85.2,"PEDICULOSIS, UNSPECIFIED",692
B85.3,PHTHIRIASIS,58
B85.4,MIXED PEDICULOSIS AND PHTHIRIASIS,10
B86.,SCABIES,6884
B87.0,CUTANEOUS MYIASIS,31
B87.1,WOUND MYIASIS,64
B87.4,AURAL MYIASIS,5
B87.81,GENITOURINARY MYIASIS,2
B87.89,MYIASIS OF OTHER SITES,10
B87.9,"MYIASIS, UNSPECIFIED",90
B88.0,OTHER ACARIASIS,36
B88.1,TUNGIASIS [SANDFLEA INFESTATION],3
B88.2,OTHER ARTHROPOD INFESTATIONS,31
B88.8,OTHER SPECIFIED INFESTATIONS,150
B88.9,"INFESTATION, UNSPECIFIED",171
B89.,UNSPECIFIED PARASITIC DISEASE,223
B90.8,SEQUELAE OF TUBERCULOSIS OF OTHER ORGANS,2
B90.9,SEQUELAE OF RESPIRATORY AND UNSPECIFIED TUBERCULOSIS,2
B91.,SEQUELAE OF POLIOMYELITIS,135
B94.0,SEQUELAE OF TRACHOMA,1
B94.1,SEQUELAE OF VIRAL ENCEPHALITIS,4
B94.2,SEQUELAE OF VIRAL HEPATITIS,6
B94.8,SEQUELAE OF OTH INFECTIOUS AND PARASITIC DISEASES,42
B94.9,SEQUELAE OF UNSPECIFIED INFECTIOUS AND PARASITIC DISEASE,4
B95.0,"STREPTOCOCCUS, GROUP A, CAUSING DISEASES CLASSD ELSWHR",1115
B95.1,"STREPTOCOCCUS, GROUP B, CAUSING DISEASES CLASSD ELSWHR",711
B95.2,ENTEROCOCCUS AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE,1379
B95.3,STREPTOCOCCUS PNEUMONIAE CAUSING DISEASES CLASSD ELSWHR,25
B95.4,OTH STREPTOCOCCUS AS THE CAUSE OF DISEASES CLASSD ELSWHR,367
B95.5,UNSP STREPTOCOCCUS AS THE CAUSE OF DISEASES CLASSD ELSWHR,634
B95.61,METHICILLIN SUSCEP STAPH INFCT CAUSING DIS CLASSD ELSWHR,689
B95.62,METHICILLIN RESIS STAPH INFCT CAUSING DISEASES CLASSD ELSWHR,1455
B95.7,OTH STAPHYLOCOCCUS AS THE CAUSE OF DISEASES CLASSD ELSWHR,555
B95.8,UNSP STAPHYLOCOCCUS AS THE CAUSE OF DISEASES CLASSD ELSWHR,964
B96.0,MYCOPLASMA PNEUMONIAE AS THE CAUSE OF DISEASES CLASSD ELSWHR,32
B96.1,KLEBSIELLA PNEUMONIAE AS THE CAUSE OF DISEASES CLASSD ELSWHR,2051
B96.20,UNSP ESCHERICHIA COLI AS THE CAUSE OF DISEASES CLASSD ELSWHR,10875
B96.21,SHIG TOX E COLI [STEC] O157 CAUSING DISEASES CLASSD ELSWHR,30
B96.22,OTH SHIGA TOXIN E COLI [STEC] CAUSING DISEASES CLASSD ELSWHR,13
B96.23,UNSP SHIG TOX E COLI [STEC] CAUSING DISEASES CLASSD ELSWHR,32
B96.29,OTH ESCHERICHIA COLI AS THE CAUSE OF DISEASES CLASSD ELSWHR,291
B96.3,HEMOPHILUS INFLUENZAE AS THE CAUSE OF DISEASES CLASSD ELSWHR,31
B96.4,PROTEUS (MIRABILIS) (MORGANII) CAUSING DIS CLASSD ELSWHR,848
B96.5,PSEUDOMONAS (MALLEI) CAUSING DISEASES CLASSD ELSWHR,1074
B96.6,BACTEROIDES FRAGILIS AS THE CAUSE OF DISEASES CLASSD ELSWHR,36
B96.7,CLOSTRIDIUM PERFRINGENS CAUSING DISEASES CLASSD ELSWHR,17
B96.81,HELICOBACTER PYLORI AS THE CAUSE OF DISEASES CLASSD ELSWHR,1448
B96.82,VIBRIO VULNIFICUS AS THE CAUSE OF DISEASES CLASSD ELSWHR,6
B96.83,ACINETOBACTER BAUMANNII CAUSING DISEASES CLASSD ELSWHR,8
B96.89,OTH BACTERIAL AGENTS AS THE CAUSE OF DISEASES CLASSD ELSWHR,23590
B97.0,ADENOVIRUS AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE,1907
B97.10,UNSP ENTEROVIRUS AS THE CAUSE OF DISEASES CLASSD ELSWHR,771
B97.11,COXSACKIEVIRUS AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE,146
B97.12,ECHOVIRUS AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE,3
B97.19,OTH ENTEROVIRUS AS THE CAUSE OF DISEASES CLASSD ELSWHR,104
B97.21,SARS-ASSOCIATED CORONAVIRUS CAUSING DISEASES CLASSD ELSWHR,6
B97.29,OTH CORONAVIRUS AS THE CAUSE OF DISEASES CLASSD ELSWHR,564
B97.30,UNSP RETROVIRUS AS THE CAUSE OF DISEASES CLASSD ELSWHR,2
B97.35,HIV 2 AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE,5
B97.39,OTH RETROVIRUS AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE,1
B97.4,RESPIRATORY SYNCYTIAL VIRUS CAUSING DISEASES CLASSD ELSWHR,18457
B97.5,REOVIRUS AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE,2
B97.6,PARVOVIRUS AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE,9
B97.7,PAPILLOMAVIRUS AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE,39
B97.81,HUMAN METAPNEUMOVIRUS AS THE CAUSE OF DISEASES CLASSD ELSWHR,1733
B97.89,OTH VIRAL AGENTS AS THE CAUSE OF DISEASES CLASSD ELSWHR,28577
B99.8,OTHER INFECTIOUS DISEASE,245
B99.9,UNSPECIFIED INFECTIOUS DISEASE,726
C00.0,MALIGNANT NEOPLASM OF EXTERNAL UPPER LIP,2
C00.1,MALIGNANT NEOPLASM OF EXTERNAL LOWER LIP,5
C00.2,"MALIGNANT NEOPLASM OF EXTERNAL LIP, UNSPECIFIED",1
C00.6,"MALIGNANT NEOPLASM OF COMMISSURE OF LIP, UNSPECIFIED",2
C00.9,"MALIGNANT NEOPLASM OF LIP, UNSPECIFIED",17
C01.,MALIGNANT NEOPLASM OF BASE OF TONGUE,156
C02.0,MALIGNANT NEOPLASM OF DORSAL SURFACE OF TONGUE,4
C02.1,MALIGNANT NEOPLASM OF BORDER OF TONGUE,19
C02.2,MALIGNANT NEOPLASM OF VENTRAL SURFACE OF TONGUE,3
C02.3,"MALIG NEOPLASM OF ANTERIOR TWO-THIRDS OF TONGUE, PART UNSP",8
C02.4,MALIGNANT NEOPLASM OF LINGUAL TONSIL,6
C02.8,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF TONGUE,5
C02.9,"MALIGNANT NEOPLASM OF TONGUE, UNSPECIFIED",459
C03.0,MALIGNANT NEOPLASM OF UPPER GUM,2
C03.1,MALIGNANT NEOPLASM OF LOWER GUM,5
C03.9,"MALIGNANT NEOPLASM OF GUM, UNSPECIFIED",13
C04.0,MALIGNANT NEOPLASM OF ANTERIOR FLOOR OF MOUTH,1
C04.9,"MALIGNANT NEOPLASM OF FLOOR OF MOUTH, UNSPECIFIED",12
C05.0,MALIGNANT NEOPLASM OF HARD PALATE,24
C05.1,MALIGNANT NEOPLASM OF SOFT PALATE,6
C05.2,MALIGNANT NEOPLASM OF UVULA,1
C05.8,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF PALATE,1
C05.9,"MALIGNANT NEOPLASM OF PALATE, UNSPECIFIED",14
C06.0,MALIGNANT NEOPLASM OF CHEEK MUCOSA,22
C06.1,MALIGNANT NEOPLASM OF VESTIBULE OF MOUTH,2
C06.2,MALIGNANT NEOPLASM OF RETROMOLAR AREA,9
C06.80,MALIGNANT NEOPLASM OF OVRLP SITES OF UNSP PARTS OF MOUTH,4
C06.89,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF OTH PRT MOUTH,7
C06.9,"MALIGNANT NEOPLASM OF MOUTH, UNSPECIFIED",204
C07.,MALIGNANT NEOPLASM OF PAROTID GLAND,93
C08.0,MALIGNANT NEOPLASM OF SUBMANDIBULAR GLAND,26
C08.1,MALIGNANT NEOPLASM OF SUBLINGUAL GLAND,3
C08.9,"MALIGNANT NEOPLASM OF MAJOR SALIVARY GLAND, UNSPECIFIED",56
C09.0,MALIGNANT NEOPLASM OF TONSILLAR FOSSA,16
C09.1,MALIG NEOPLASM OF TONSILLAR PILLAR (ANTERIOR) (POSTERIOR),4
C09.8,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF TONSIL,11
C09.9,"MALIGNANT NEOPLASM OF TONSIL, UNSPECIFIED",262
C10.0,MALIGNANT NEOPLASM OF VALLECULA,4
C10.2,MALIGNANT NEOPLASM OF LATERAL WALL OF OROPHARYNX,7
C10.3,MALIGNANT NEOPLASM OF POSTERIOR WALL OF OROPHARYNX,7
C10.8,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF OROPHARYNX,10
C10.9,"MALIGNANT NEOPLASM OF OROPHARYNX, UNSPECIFIED",232
C11.1,MALIGNANT NEOPLASM OF POSTERIOR WALL OF NASOPHARYNX,18
C11.2,MALIGNANT NEOPLASM OF LATERAL WALL OF NASOPHARYNX,2
C11.3,MALIGNANT NEOPLASM OF ANTERIOR WALL OF NASOPHARYNX,4
C11.8,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF NASOPHARYNX,9
C11.9,"MALIGNANT NEOPLASM OF NASOPHARYNX, UNSPECIFIED",225
C12.,MALIGNANT NEOPLASM OF PYRIFORM SINUS,4
C13.0,MALIGNANT NEOPLASM OF POSTCRICOID REGION,1
C13.1,"MALIG NEOPLASM OF ARYEPIGLOTTIC FOLD, HYPOPHARYNGEAL ASPECT",1
C13.2,MALIGNANT NEOPLASM OF POSTERIOR WALL OF HYPOPHARYNX,2
C13.8,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF HYPOPHARYNX,3
C13.9,"MALIGNANT NEOPLASM OF HYPOPHARYNX, UNSPECIFIED",47
C14.0,"MALIGNANT NEOPLASM OF PHARYNX, UNSPECIFIED",483
C14.8,"MALIG NEOPLM OF OVRLP SITES OF LIP, ORAL CAVITY AND PHARYNX",9
C15.3,MALIGNANT NEOPLASM OF UPPER THIRD OF ESOPHAGUS,37
C15.4,MALIGNANT NEOPLASM OF MIDDLE THIRD OF ESOPHAGUS,29
C15.5,MALIGNANT NEOPLASM OF LOWER THIRD OF ESOPHAGUS,187
C15.8,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF ESOPHAGUS,10
C15.9,"MALIGNANT NEOPLASM OF ESOPHAGUS, UNSPECIFIED",1285
C16.0,MALIGNANT NEOPLASM OF CARDIA,263
C16.1,MALIGNANT NEOPLASM OF FUNDUS OF STOMACH,11
C16.2,MALIGNANT NEOPLASM OF BODY OF STOMACH,74
C16.3,MALIGNANT NEOPLASM OF PYLORIC ANTRUM,78
C16.4,MALIGNANT NEOPLASM OF PYLORUS,13
C16.5,"MALIGNANT NEOPLASM OF LESSER CURVATURE OF STOMACH, UNSP",13
C16.6,"MALIGNANT NEOPLASM OF GREATER CURVATURE OF STOMACH, UNSP",3
C16.8,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF STOMACH,35
C16.9,"MALIGNANT NEOPLASM OF STOMACH, UNSPECIFIED",1844
C17.0,MALIGNANT NEOPLASM OF DUODENUM,132
C17.1,MALIGNANT NEOPLASM OF JEJUNUM,6
C17.2,MALIGNANT NEOPLASM OF ILEUM,7
C17.8,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF SMALL INTESTINE,5
C17.9,"MALIGNANT NEOPLASM OF SMALL INTESTINE, UNSPECIFIED",48
C18.0,MALIGNANT NEOPLASM OF CECUM,208
C18.1,MALIGNANT NEOPLASM OF APPENDIX,200
C18.2,MALIGNANT NEOPLASM OF ASCENDING COLON,310
C18.3,MALIGNANT NEOPLASM OF HEPATIC FLEXURE,45
C18.4,MALIGNANT NEOPLASM OF TRANSVERSE COLON,103
C18.5,MALIGNANT NEOPLASM OF SPLENIC FLEXURE,27
C18.6,MALIGNANT NEOPLASM OF DESCENDING COLON,65
C18.7,MALIGNANT NEOPLASM OF SIGMOID COLON,498
C18.8,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF COLON,22
C18.9,"MALIGNANT NEOPLASM OF COLON, UNSPECIFIED",4782
C19.,MALIGNANT NEOPLASM OF RECTOSIGMOID JUNCTION,736
C20.,MALIGNANT NEOPLASM OF RECTUM,1887
C21.0,"MALIGNANT NEOPLASM OF ANUS, UNSPECIFIED",278
C21.1,MALIGNANT NEOPLASM OF ANAL CANAL,37
C21.2,MALIGNANT NEOPLASM OF CLOACOGENIC ZONE,2
C21.8,"MALIG NEOPLASM OF OVRLP SITES OF RECTUM, ANUS AND ANAL CANAL",45
C22.0,LIVER CELL CARCINOMA,1860
C22.1,INTRAHEPATIC BILE DUCT CARCINOMA,802
C22.2,HEPATOBLASTOMA,65
C22.3,ANGIOSARCOMA OF LIVER,10
C22.4,OTHER SARCOMAS OF LIVER,7
C22.7,OTHER SPECIFIED CARCINOMAS OF LIVER,83
C22.8,"MALIGNANT NEOPLASM OF LIVER, PRIMARY, UNSPECIFIED AS TO TYPE",596
C22.9,"MALIG NEOPLASM OF LIVER, NOT SPECIFIED AS PRIMARY OR SEC",868
C23.,MALIGNANT NEOPLASM OF GALLBLADDER,261
C24.0,MALIGNANT NEOPLASM OF EXTRAHEPATIC BILE DUCT,68
C24.1,MALIGNANT NEOPLASM OF AMPULLA OF VATER,86
C24.8,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF BILIARY TRACT,1
C24.9,"MALIGNANT NEOPLASM OF BILIARY TRACT, UNSPECIFIED",68
C25.0,MALIGNANT NEOPLASM OF HEAD OF PANCREAS,579
C25.1,MALIGNANT NEOPLASM OF BODY OF PANCREAS,137
C25.2,MALIGNANT NEOPLASM OF TAIL OF PANCREAS,135
C25.3,MALIGNANT NEOPLASM OF PANCREATIC DUCT,55
C25.4,MALIGNANT NEOPLASM OF ENDOCRINE PANCREAS,32
C25.7,MALIGNANT NEOPLASM OF OTHER PARTS OF PANCREAS,51
C25.8,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF PANCREAS,30
C25.9,"MALIGNANT NEOPLASM OF PANCREAS, UNSPECIFIED",3668
C26.0,"MALIGNANT NEOPLASM OF INTESTINAL TRACT, PART UNSPECIFIED",30
C26.1,MALIGNANT NEOPLASM OF SPLEEN,5
C26.9,MALIGNANT NEOPLASM OF ILL-DEFINED SITES WITHIN THE DGSTV SYS,60
C30.0,MALIGNANT NEOPLASM OF NASAL CAVITY,48
C30.1,MALIGNANT NEOPLASM OF MIDDLE EAR,2
C31.0,MALIGNANT NEOPLASM OF MAXILLARY SINUS,36
C31.1,MALIGNANT NEOPLASM OF ETHMOIDAL SINUS,11
C31.2,MALIGNANT NEOPLASM OF FRONTAL SINUS,3
C31.3,MALIGNANT NEOPLASM OF SPHENOID SINUS,4
C31.9,"MALIGNANT NEOPLASM OF ACCESSORY SINUS, UNSPECIFIED",33
C32.0,MALIGNANT NEOPLASM OF GLOTTIS,52
C32.1,MALIGNANT NEOPLASM OF SUPRAGLOTTIS,51
C32.2,MALIGNANT NEOPLASM OF SUBGLOTTIS,2
C32.3,MALIGNANT NEOPLASM OF LARYNGEAL CARTILAGE,6
C32.8,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF LARYNX,5
C32.9,"MALIGNANT NEOPLASM OF LARYNX, UNSPECIFIED",303
C33.,MALIGNANT NEOPLASM OF TRACHEA,10
C34.00,MALIGNANT NEOPLASM OF UNSPECIFIED MAIN BRONCHUS,27
C34.01,MALIGNANT NEOPLASM OF RIGHT MAIN BRONCHUS,39
C34.02,MALIGNANT NEOPLASM OF LEFT MAIN BRONCHUS,17
C34.10,"MALIGNANT NEOPLASM OF UPPER LOBE, UNSP BRONCHUS OR LUNG",17
C34.11,"MALIGNANT NEOPLASM OF UPPER LOBE, RIGHT BRONCHUS OR LUNG",655
C34.12,"MALIGNANT NEOPLASM OF UPPER LOBE, LEFT BRONCHUS OR LUNG",459
C34.2,"MALIGNANT NEOPLASM OF MIDDLE LOBE, BRONCHUS OR LUNG",109
C34.30,"MALIGNANT NEOPLASM OF LOWER LOBE, UNSP BRONCHUS OR LUNG",4
C34.31,"MALIGNANT NEOPLASM OF LOWER LOBE, RIGHT BRONCHUS OR LUNG",417
C34.32,"MALIGNANT NEOPLASM OF LOWER LOBE, LEFT BRONCHUS OR LUNG",289
C34.80,MALIGNANT NEOPLASM OF OVRLP SITES OF UNSP BRONCHUS AND LUNG,5
C34.81,MALIGNANT NEOPLASM OF OVRLP SITES OF RIGHT BRONCHUS AND LUNG,53
C34.82,MALIGNANT NEOPLASM OF OVRLP SITES OF LEFT BRONCHUS AND LUNG,38
C34.90,MALIGNANT NEOPLASM OF UNSP PART OF UNSP BRONCHUS OR LUNG,6271
C34.91,MALIGNANT NEOPLASM OF UNSP PART OF RIGHT BRONCHUS OR LUNG,1044
C34.92,MALIGNANT NEOPLASM OF UNSP PART OF LEFT BRONCHUS OR LUNG,797
C37.,MALIGNANT NEOPLASM OF THYMUS,115
C38.0,MALIGNANT NEOPLASM OF HEART,6
C38.1,MALIGNANT NEOPLASM OF ANTERIOR MEDIASTINUM,8
C38.2,MALIGNANT NEOPLASM OF POSTERIOR MEDIASTINUM,1
C38.3,"MALIGNANT NEOPLASM OF MEDIASTINUM, PART UNSPECIFIED",21
C38.4,MALIGNANT NEOPLASM OF PLEURA,16
C38.8,"MALIG NEOPLM OF OVRLP SITES OF HEART, MEDIASTINUM AND PLEURA",1
C39.0,"MALIGNANT NEOPLASM OF UPPER RESPIRATORY TRACT, PART UNSP",1
