ICDCMCode,ExtCauseDesc,TotalEcm
V18.1XXS,"PEDL CYC PASNGR INJ IN NONCLSN TRNSP ACC NONTRAF, SEQUELA",1
V18.2XXA,"UNSP PEDL CYCLST INJURED IN NONCLSN TRNSP ACC NONTRAF, INIT",805
V18.2XXD,"UNSP PEDL CYCLST INJURED IN NONCLSN TRNSP ACC NONTRAF, SUBS",11
V18.2XXS,"UNSP PEDL CYCLST INJ IN NONCLSN TRNSP ACC NONTRAF, SEQUELA",2
V18.3XXA,"PRSN BRD/ALIT PEDL CYC INJURED IN NONCLSN TRNSP ACC, INIT",179
V18.3XXD,"PRSN BRD/ALIT PEDL CYC INJURED IN NONCLSN TRNSP ACC, SUBS",2
V18.3XXS,"PRSN BRD/ALIT PEDL CYC INJURED IN NONCLSN TRNSP ACC, SEQUELA",1
V18.4XXA,"PEDL CYC DRIVER INJURED IN NONCLSN TRNSP ACC IN TRAF, INIT",7734
V18.4XXD,"PEDL CYC DRIVER INJURED IN NONCLSN TRNSP ACC IN TRAF, SUBS",131
V18.4XXS,"PEDL CYC DRIVER INJ IN NONCLSN TRNSP ACC IN TRAF, SEQUELA",5
V18.5XXA,"PEDL CYC PASNGR INJURED IN NONCLSN TRNSP ACC IN TRAF, INIT",40
V18.9XXA,"UNSP PEDL CYCLST INJURED IN NONCLSN TRNSP ACC IN TRAF, INIT",1140
V18.9XXD,"UNSP PEDL CYCLST INJURED IN NONCLSN TRNSP ACC IN TRAF, SUBS",33
V18.9XXS,"UNSP PEDL CYCLST INJ IN NONCLSN TRNSP ACC IN TRAF, SEQUELA",2
V19.00XA,"PEDL CYC DRIVER INJURED IN COLLISION W UNSP MV NONTRAF, INIT",62
V19.00XD,"PEDL CYC DRIVER INJURED IN COLLISION W UNSP MV NONTRAF, SUBS",2
V19.09XA,"PEDL CYC DRIVER INJURED IN COLLISION W OTH MV NONTRAF, INIT",14
V19.09XD,"PEDL CYC DRIVER INJURED IN COLLISION W OTH MV NONTRAF, SUBS",1
V19.20XA,"UNSP PEDL CYCLST INJURED IN CLSN W UNSP MV NONTRAF, INIT",7
V19.29XA,"UNSP PEDL CYCLST INJURED IN COLLISION W OTH MV NONTRAF, INIT",1
V19.3XXA,"PEDL CYCLST (DRIVER) INJURED IN UNSP NONTRAF, INIT",2494
V19.3XXD,"PEDL CYCLST (DRIVER) INJURED IN UNSP NONTRAF, SUBS",50
V19.3XXS,"PEDL CYCLST (DRIVER) INJURED IN UNSP NONTRAF, SEQUELA",4
V19.40XA,"PEDL CYC DRIVER INJURED IN COLLISION W UNSP MV IN TRAF, INIT",665
V19.40XD,"PEDL CYC DRIVER INJURED IN COLLISION W UNSP MV IN TRAF, SUBS",19
V19.49XA,"PEDL CYC DRIVER INJURED IN COLLISION W OTH MV IN TRAF, INIT",232
V19.49XD,"PEDL CYC DRIVER INJURED IN COLLISION W OTH MV IN TRAF, SUBS",5
V19.50XA,"PEDL CYC PASSENGER INJURED IN CLSN W UNSP MV IN TRAF, INIT",4
V19.59XA,"PEDL CYC PASSENGER INJURED IN CLSN W OTH MV IN TRAF, INIT",3
V19.60XA,"UNSP PEDL CYCLST INJURED IN CLSN W UNSP MV IN TRAF, INIT",68
V19.60XD,"UNSP PEDL CYCLST INJURED IN CLSN W UNSP MV IN TRAF, SUBS",2
V19.69XA,"UNSP PEDL CYCLST INJURED IN COLLISION W OTH MV IN TRAF, INIT",21
V19.81XA,"PEDL CYCLST INJURED IN TRNSP ACC W MILITARY VEHICLE, INIT",1
V19.88XA,"PEDL CYCLST (DRIVER) INJURED IN OTH TRANSPORT ACC, INIT",1222
V19.88XD,"PEDL CYCLST (DRIVER) INJURED IN OTH TRANSPORT ACC, SUBS",27
V19.88XS,"PEDL CYCLST (DRIVER) INJURED IN OTH TRANSPORT ACC, SEQUELA",3
V19.9XXA,"PEDL CYCLST (DRIVER) (PASSENGER) INJURED IN UNSP TRAF, INIT",6198
V19.9XXD,"PEDL CYCLST (DRIVER) (PASSENGER) INJURED IN UNSP TRAF, SUBS",250
V19.9XXS,"PEDL CYCLST (DRIVER) INJURED IN UNSP TRAF, SEQUELA",22
V20.01XA,"ELECTC BIKE DRIVER INJ IN CLSN WITH PED/ANML NONTRAF, INIT",7
V20.09XA,"OTHER MTRCY DRIVER INJ IN CLSN WITH PED/ANML NONTRAF, INIT",17
V20.11XA,"ELECTC BIKE PASNGR INJ IN CLSN WITH PED/ANML NONTRAF, INIT",1
V20.19XA,"OTHER MTRCY PASNGR INJ IN CLSN WITH PED/ANML NONTRAF, INIT",1
V20.21XA,"UNSP ELECTC BIKE RIDER INJ CLSN WITH PED/ANML NONTRAF, INIT",1
V20.41XA,"ELECTC BIKE DRIVER INJ IN CLSN WITH PED/ANML IN TRAF, INIT",4
V20.49XA,"OTHER MTRCY DRIVER INJ IN CLSN WITH PED/ANML IN TRAF, INIT",95
V20.49XD,"OTHER MTRCY DRIVER INJ IN CLSN WITH PED/ANML IN TRAF, SUBS",3
V20.59XA,"OTHER MTRCY PASNGR INJ IN CLSN WITH PED/ANML IN TRAF, INIT",18
V20.91XA,"UNSP ELECTC BIKE RIDER INJ CLSN WITH PED/ANML IN TRAF, INIT",2
V20.99XA,"UNSP RIDER OF MTRCY INJ IN CLSN WITH PED/ANML IN TRAF, INIT",9
V21.01XA,"ELECTC BIKE DRIVER INJ IN CLSN WITH PEDL CYC NONTRAF, INIT",46
V21.01XD,"ELECTC BIKE DRIVER INJ IN CLSN WITH PEDL CYC NONTRAF, SUBS",1
V21.09XA,"OTHER MTRCY DRIVER INJ IN CLSN WITH PEDL CYC NONTRAF, INIT",5
V21.11XA,"ELECTC BIKE PASNGR INJ IN CLSN WITH PEDL CYC NONTRAF, INIT",1
V21.21XA,"UNSP ELECTC BIKE RIDER INJ CLSN WITH PEDL CYC NONTRAF, INIT",1
V21.29XA,"UNSP RIDER OF MTRCY INJ IN CLSN WITH PEDL CYC NONTRAF, INIT",2
V21.39XA,"PRSN BRD/ALIT OTHER MTRCY INJ IN CLSN WITH PEDL CYC, INIT",1
V21.41XA,"ELECTC BIKE DRIVER INJ IN CLSN WITH PEDL CYC IN TRAF, INIT",70
V21.41XD,"ELECTC BIKE DRIVER INJ IN CLSN WITH PEDL CYC IN TRAF, SUBS",1
V21.49XA,"OTHER MTRCY DRIVER INJ IN CLSN WITH PEDL CYC IN TRAF, INIT",31
V21.51XA,"ELECTC BIKE PASNGR INJ IN CLSN WITH PEDL CYC IN TRAF, INIT",5
V21.59XA,"OTHER MTRCY PASNGR INJ IN CLSN WITH PEDL CYC IN TRAF, INIT",2
V21.91XA,"UNSP ELECTC BIKE RIDER INJ CLSN WITH PEDL CYC IN TRAF, INIT",4
V21.91XD,"UNSP ELECTC BIKE RIDER INJ CLSN WITH PEDL CYC IN TRAF, SUBS",1
V21.99XA,"UNSP RIDER OF MTRCY INJ IN CLSN WITH PEDL CYC IN TRAF, INIT",4
V22.01XA,"ELECTC BIKE DRIVER INJURED IN COLLISION 2/3WHL NONTRAF, INIT",2
V22.09XA,"OTHER MTRCY DRIVER INJURED IN COLLISION 2/3WHL NONTRAF, INIT",20
V22.41XA,"ELECTC BIKE DRIVER INJURED IN COLLISION 2/3WHL IN TRAF, INIT",12
V22.49XA,"OTHER MTRCY DRIVER INJURED IN COLLISION 2/3WHL IN TRAF, INIT",114
V22.59XA,"OTHER MTRCY PASSENGER INJURED IN CLSN 2/3WHL IN TRAF, INIT",5
V22.91XA,"UNSP ELECTC BIKE RIDER INJURED IN CLSN 2/3WHL IN TRAF, INIT",1
V22.99XA,"UNSP RIDER OF MTRCY INJURED IN CLSN 2/3WHL IN TRAF, INIT",11
V22.99XD,"UNSP RIDER OF MTRCY INJURED IN CLSN 2/3WHL IN TRAF, SUBS",1
V23.01XA,"ELECTC BIKE DRIVER INJURED PICK-UP TRUCK/VAN NONTRAF, INIT",22
V23.09XA,"OTHER MTRCY DRIVER INJURED PICK-UP TRUCK/VAN NONTRAF, INIT",166
V23.09XD,"OTHER MTRCY DRIVER INJURED PICK-UP TRUCK/VAN NONTRAF, SUBS",1
V23.19XA,"OTHER MTRCY PASNGR INJURED PICK-UP TRUCK/VAN NONTRAF, INIT",6
V23.21XA,"UNSP ELECTC BIKE RIDER INJ PICK-UP TRUCK/VAN NONTRAF, INIT",1
V23.29XA,"UNSP RIDER OF MTRCY INJURED PICK-UP TRUCK/VAN NONTRAF, INIT",6
V23.39XA,"PRSN BRD/ALIT OTHER MTRCY INJURED PICK-UP TRUCK/VAN, INIT",12
V23.41XA,"ELECTC BIKE DRIVER INJURED PICK-UP TRUCK/VAN IN TRAF, INIT",528
V23.41XD,"ELECTC BIKE DRIVER INJURED PICK-UP TRUCK/VAN IN TRAF, SUBS",2
V23.49XA,"OTHER MTRCY DRIVER INJURED PICK-UP TRUCK/VAN IN TRAF, INIT",4313
V23.49XD,"OTHER MTRCY DRIVER INJURED PICK-UP TRUCK/VAN IN TRAF, SUBS",57
V23.49XS,"OTHER MTRCY DRIVER INJ PICK-UP TRUCK/VAN IN TRAF, SEQUELA",1
V23.51XA,"ELECTC BIKE PASNGR INJURED PICK-UP TRUCK/VAN IN TRAF, INIT",9
V23.59XA,"OTHER MTRCY PASNGR INJURED PICK-UP TRUCK/VAN IN TRAF, INIT",143
V23.59XD,"OTHER MTRCY PASNGR INJURED PICK-UP TRUCK/VAN IN TRAF, SUBS",2
V23.91XA,"UNSP ELECTC BIKE RIDER INJ PICK-UP TRUCK/VAN IN TRAF, INIT",27
V23.91XD,"UNSP ELECTC BIKE RIDER INJ PICK-UP TRUCK/VAN IN TRAF, SUBS",1
V23.99XA,"UNSP RIDER OF MTRCY INJURED PICK-UP TRUCK/VAN IN TRAF, INIT",264
V23.99XD,"UNSP RIDER OF MTRCY INJURED PICK-UP TRUCK/VAN IN TRAF, SUBS",6
V23.99XS,"UNSP RIDER OF MTRCY INJ PICK-UP TRUCK/VAN IN TRAF, SEQUELA",3
V24.01XA,"ELECTC BIKE DRIVER INJURED IN CLSN WITH HV VEH NONTRAF, INIT",1
V24.09XA,"OTHER MTRCY DRIVER INJURED IN CLSN WITH HV VEH NONTRAF, INIT",7
V24.29XA,"UNSP RIDER OF MTRCY INJ IN CLSN WITH HV VEH NONTRAF, INIT",1
V24.31XA,"PRSN BRD/ALIT AN ELECTC BIKE INJ IN CLSN WITH HV VEH, INIT",1
V24.41XA,"ELECTC BIKE DRIVER INJURED IN CLSN WITH HV VEH IN TRAF, INIT",17
V24.49XA,"OTHER MTRCY DRIVER INJURED IN CLSN WITH HV VEH IN TRAF, INIT",184
V24.59XA,"OTHER MTRCY PASNGR INJURED IN CLSN WITH HV VEH IN TRAF, INIT",4
V24.91XA,"UNSP ELECTC BIKE RIDER INJ IN CLSN WITH HV VEH IN TRAF, INIT",1
V24.99XA,"UNSP RIDER OF MTRCY INJ IN CLSN WITH HV VEH IN TRAF, INIT",3
V25.19XA,"OTHER MTRCY PASNGR INJURED IN CLSN TRAIN/VEH NONTRAF, INIT",1
V25.49XA,"OTHER MTRCY DRIVER INJURED IN CLSN TRAIN/VEH IN TRAF, INIT",3
V26.01XA,"ELECTC BIKE DRIVER INJURED IN CLSN OTH NON-MV NONTRAF, INIT",2
V26.09XA,"OTHER MTRCY DRIVER INJURED IN CLSN OTH NON-MV NONTRAF, INIT",22
V26.19XA,"OTHER MTRCY PASNGR INJURED IN CLSN OTH NON-MV NONTRAF, INIT",1
V26.29XA,"UNSP RIDER OF MTRCY INJURED IN CLSN OTH NON-MV NONTRAF, INIT",2
V26.39XA,"PRSN BRD/ALIT OTHER MTRCY INJURED IN CLSN OTH NON-MV, INIT",4
V26.41XA,"ELECTC BIKE DRIVER INJURED IN CLSN OTH NON-MV IN TRAF, INIT",17
V26.49XA,"OTHER MTRCY DRIVER INJURED IN CLSN OTH NON-MV IN TRAF, INIT",184
V26.49XD,"OTHER MTRCY DRIVER INJURED IN CLSN OTH NON-MV IN TRAF, SUBS",1
V26.59XA,"OTHER MTRCY PASNGR INJURED IN CLSN OTH NON-MV IN TRAF, INIT",1
V26.91XA,"UNSP ELECTC BIKE RIDER INJ IN CLSN OTH NON-MV IN TRAF, INIT",3
V26.99XA,"UNSP RIDER OF MTRCY INJURED IN CLSN OTH NON-MV IN TRAF, INIT",17
V27.01XA,"ELECTC BIKE DRVR INJ CLSN WITH STATNRY OBJECT NONTRAF, INIT",97
V27.01XS,"ELECTC BIKE DRVR INJ CLSN WITH STATNRY OBJECT NONTRAF, SQLA",1
V27.09XA,"OTHER MTRCY DRVR INJ CLSN WITH STATNRY OBJECT NONTRAF, INIT",189
V27.09XD,"OTHER MTRCY DRVR INJ CLSN WITH STATNRY OBJECT NONTRAF, SUBS",1
V27.09XS,"OTHER MTRCY DRVR INJ CLSN WITH STATNRY OBJECT NONTRAF, SQLA",1
V27.19XA,"OTHER MTRCY PASNGR INJ CLSN WITH STATNRY OBJ NONTRAF, INIT",5
V27.21XA,"UNSP ELECTC BIKE RIDER INJ CLSN W STATNRY OBJ NONTRAF, INIT",3
V27.29XA,"UNSP RIDER OF MTRCY INJ CLSN WITH STATNRY OBJ NONTRAF, INIT",3
V27.39XA,"PRSN BRD/ALIT OTHER MTRCY INJ CLSN WITH STATNRY OBJECT, INIT",7
V27.41XA,"ELECTC BIKE DRVR INJ CLSN WITH STATNRY OBJECT IN TRAF, INIT",164
V27.41XD,"ELECTC BIKE DRVR INJ CLSN WITH STATNRY OBJECT IN TRAF, SUBS",2
V27.49XA,"OTHER MTRCY DRVR INJ CLSN WITH STATNRY OBJECT IN TRAF, INIT",846
V27.49XD,"OTHER MTRCY DRVR INJ CLSN WITH STATNRY OBJECT IN TRAF, SUBS",6
V27.49XS,"OTHER MTRCY DRVR INJ CLSN WITH STATNRY OBJECT IN TRAF, SQLA",1
V27.51XA,"ELECTC BIKE PASNGR INJ CLSN WITH STATNRY OBJ IN TRAF, INIT",2
V27.59XA,"OTHER MTRCY PASNGR INJ CLSN WITH STATNRY OBJ IN TRAF, INIT",21
V27.59XD,"OTHER MTRCY PASNGR INJ CLSN WITH STATNRY OBJ IN TRAF, SUBS",1
V27.91XA,"UNSP ELECTC BIKE RIDER INJ CLSN W STATNRY OBJ IN TRAF, INIT",17
V27.99XA,"UNSP RIDER OF MTRCY INJ CLSN WITH STATNRY OBJ IN TRAF, INIT",57
V27.99XD,"UNSP RIDER OF MTRCY INJ CLSN WITH STATNRY OBJ IN TRAF, SUBS",1
V27.99XS,"UNSP RIDER OF MTRCY INJ CLSN WITH STATNRY OBJ IN TRAF, SQLA",1
V28.01XA,"ELECTC BIKE DRIVER INJ IN NONCLSN TRNSP ACC NONTRAF, INIT",718
V28.01XD,"ELECTC BIKE DRIVER INJ IN NONCLSN TRNSP ACC NONTRAF, SUBS",7
V28.09XA,"OTHER MTRCY DRIVER INJ IN NONCLSN TRNSP ACC NONTRAF, INIT",1730
V28.09XD,"OTHER MTRCY DRIVER INJ IN NONCLSN TRNSP ACC NONTRAF, SUBS",12
V28.09XS,"OTHER MTRCY DRIVER INJ IN NONCLSN TRNSP ACC NONTRAF, SEQUELA",4
V28.11XA,"ELECTC BIKE PASNGR INJ IN NONCLSN TRNSP ACC NONTRAF, INIT",14
V28.19XA,"OTHER MTRCY PASNGR INJ IN NONCLSN TRNSP ACC NONTRAF, INIT",41
V28.21XA,"UNSP ELECTC BIKE RIDER INJ NONCLSN TRNSP ACC NONTRAF, INIT",16
V28.21XD,"UNSP ELECTC BIKE RIDER INJ NONCLSN TRNSP ACC NONTRAF, SUBS",1
V28.29XA,"UNSP RIDER OF MTRCY INJ IN NONCLSN TRNSP ACC NONTRAF, INIT",93
V28.29XD,"UNSP RIDER OF MTRCY INJ IN NONCLSN TRNSP ACC NONTRAF, SUBS",1
V28.31XA,"PRSN BRD/ALIT AN ELECTC BIKE INJ IN NONCLSN TRNSP ACC, INIT",10
V28.39XA,"PRSN BRD/ALIT OTHER MTRCY INJURED IN NONCLSN TRNSP ACC, INIT",99
V28.41XA,"ELECTC BIKE DRIVER INJ IN NONCLSN TRNSP ACC IN TRAF, INIT",854
V28.41XD,"ELECTC BIKE DRIVER INJ IN NONCLSN TRNSP ACC IN TRAF, SUBS",11
V28.41XS,"ELECTC BIKE DRIVER INJ IN NONCLSN TRNSP ACC IN TRAF, SEQUELA",1
V28.49XA,"OTHER MTRCY DRIVER INJ IN NONCLSN TRNSP ACC IN TRAF, INIT",3548
V28.49XD,"OTHER MTRCY DRIVER INJ IN NONCLSN TRNSP ACC IN TRAF, SUBS",41
V28.49XS,"OTHER MTRCY DRIVER INJ IN NONCLSN TRNSP ACC IN TRAF, SEQUELA",5
V28.51XA,"ELECTC BIKE PASNGR INJ IN NONCLSN TRNSP ACC IN TRAF, INIT",25
V28.59XA,"OTHER MTRCY PASNGR INJ IN NONCLSN TRNSP ACC IN TRAF, INIT",155
V28.59XD,"OTHER MTRCY PASNGR INJ IN NONCLSN TRNSP ACC IN TRAF, SUBS",2
V28.91XA,"UNSP ELECTC BIKE RIDER INJ NONCLSN TRNSP ACC IN TRAF, INIT",140
V28.91XD,"UNSP ELECTC BIKE RIDER INJ NONCLSN TRNSP ACC IN TRAF, SUBS",4
V28.99XA,"UNSP RIDER OF MTRCY INJ IN NONCLSN TRNSP ACC IN TRAF, INIT",373
V28.99XD,"UNSP RIDER OF MTRCY INJ IN NONCLSN TRNSP ACC IN TRAF, SUBS",21
V28.99XS,"UNSP RIDER OF MTRCY INJ IN NONCLSN TRNSP ACC IN TRAF, SQLA",2
V29.001A,"ELECTC BIKE DRIVER INJ IN CLSN WITH UNSP MV NONTRAF, INIT",16
V29.008A,"OTHER MTRCY DRIVER INJ IN CLSN WITH UNSP MV NONTRAF, INIT",74
V29.008D,"OTHER MTRCY DRIVER INJ IN CLSN WITH UNSP MV NONTRAF, SUBS",1
V29.008S,"OTHER MTRCY DRIVER INJ IN CLSN WITH UNSP MV NONTRAF, SEQUELA",1
V29.091A,"ELECTC BIKE DRIVER INJURED IN CLSN WITH OTH MV NONTRAF, INIT",4
V29.098A,"OTHER MTRCY DRIVER INJURED IN CLSN WITH OTH MV NONTRAF, INIT",30
V29.108A,"OTHER MTRCY PASNGR INJ IN CLSN WITH UNSP MV NONTRAF, INIT",2
V29.198A,"OTHER MTRCY PASNGR INJURED IN CLSN WITH OTH MV NONTRAF, INIT",1
V29.201A,"UNSP ELECTC BIKE RIDER INJ CLSN WITH UNSP MV NONTRAF, INIT",2
V29.208A,"UNSP RIDER OF MTRCY INJ IN CLSN WITH UNSP MV NONTRAF, INIT",8
V29.298A,"UNSP RIDER OF MTRCY INJ IN CLSN WITH OTH MV NONTRAF, INIT",2
V29.31XA,"ELECTC BIKE (DRIVER) INJURED IN UNSPECIFIED NONTRAF, INIT",200
V29.31XD,"ELECTC BIKE (DRIVER) INJURED IN UNSPECIFIED NONTRAF, SUBS",1
V29.31XS,"ELECTC BIKE (DRIVER) INJURED IN UNSPECIFIED NONTRAF, SEQUELA",1
V29.39XA,"OTHER MOTORCYCLE (DRIVER) INJURED IN UNSP NONTRAF, INIT",430
V29.39XD,"OTHER MOTORCYCLE (DRIVER) INJURED IN UNSP NONTRAF, SUBS",6
V29.39XS,"OTHER MOTORCYCLE (DRIVER) INJURED IN UNSP NONTRAF, SEQUELA",1
V29.401A,"ELECTC BIKE DRIVER INJ IN CLSN WITH UNSP MV IN TRAF, INIT",82
V29.408A,"OTHER MTRCY DRIVER INJ IN CLSN WITH UNSP MV IN TRAF, INIT",971
V29.408D,"OTHER MTRCY DRIVER INJ IN CLSN WITH UNSP MV IN TRAF, SUBS",34
V29.408S,"OTHER MTRCY DRIVER INJ IN CLSN WITH UNSP MV IN TRAF, SEQUELA",2
V29.491A,"ELECTC BIKE DRIVER INJURED IN CLSN WITH OTH MV IN TRAF, INIT",19
V29.498A,"OTHER MTRCY DRIVER INJURED IN CLSN WITH OTH MV IN TRAF, INIT",269
V29.498D,"OTHER MTRCY DRIVER INJURED IN CLSN WITH OTH MV IN TRAF, SUBS",3
V29.498S,"OTHER MTRCY DRIVER INJ IN CLSN WITH OTH MV IN TRAF, SEQUELA",1
V29.501A,"ELECTC BIKE PASNGR INJ IN CLSN WITH UNSP MV IN TRAF, INIT",2
V29.508A,"OTHER MTRCY PASNGR INJ IN CLSN WITH UNSP MV IN TRAF, INIT",41
V29.591A,"ELECTC BIKE PASNGR INJURED IN CLSN WITH OTH MV IN TRAF, INIT",6
V29.598A,"OTHER MTRCY PASNGR INJURED IN CLSN WITH OTH MV IN TRAF, INIT",20
V29.601A,"UNSP ELECTC BIKE RIDER INJ CLSN WITH UNSP MV IN TRAF, INIT",5
V29.608A,"UNSP RIDER OF MTRCY INJ IN CLSN WITH UNSP MV IN TRAF, INIT",136
V29.608D,"UNSP RIDER OF MTRCY INJ IN CLSN WITH UNSP MV IN TRAF, SUBS",12
V29.691A,"UNSP ELECTC BIKE RIDER INJ IN CLSN WITH OTH MV IN TRAF, INIT",5
V29.698A,"UNSP RIDER OF MTRCY INJ IN CLSN WITH OTH MV IN TRAF, INIT",29
V29.811A,"ELECTC BIKE RIDER INJ IN TRNSP ACC WITH MILTRY VEHICLE, INIT",1
V29.881A,"ELECTC BIKE RIDER (DRIVER) INJURED IN OTH TRNSP ACC, INIT",140
V29.881D,"ELECTC BIKE RIDER (DRIVER) INJURED IN OTH TRNSP ACC, SUBS",1
V29.888A,"RIDER (DRIVER) OF OTHER MTRCY INJURED IN OTH TRNSP ACC, INIT",891
V29.888D,"RIDER (DRIVER) OF OTHER MTRCY INJURED IN OTH TRNSP ACC, SUBS",23
V29.888S,"RIDER OF OTHER MTRCY INJURED IN OTH TRNSP ACC, SEQUELA",3
V29.91XA,"ELECTC BIKE RIDER (DRIVER) INJURED IN UNSPECIFIED TRAF, INIT",550
V29.91XD,"ELECTC BIKE RIDER (DRIVER) INJURED IN UNSPECIFIED TRAF, SUBS",29
V29.91XS,"ELECTC BIKE RIDER (DRIVER) INJURED IN UNSP TRAF, SEQUELA",1
V29.99XA,"RIDER (DRIVER) OF OTHER MTRCY INJURED IN UNSP TRAF, INIT",3854
V29.99XD,"RIDER (DRIVER) OF OTHER MTRCY INJURED IN UNSP TRAF, SUBS",393
V29.99XS,"RIDER (DRIVER) OF OTHER MTRCY INJURED IN UNSP TRAF, SEQUELA",47
V30.5XXA,"DRIVER OF 3-WHL MV INJURED IN CLSN W PED/ANML IN TRAF, INIT",7
V32.0XXA,"DRIVER OF 3-WHL MV INJ IN CLSN W 2/3-WHL MV NONTRAF, INIT",3
V32.5XXA,"DRIVER OF 3-WHL MV INJ IN CLSN W 2/3-WHL MV IN TRAF, INIT",23
V32.5XXD,"DRIVER OF 3-WHL MV INJ IN CLSN W 2/3-WHL MV IN TRAF, SUBS",1
V32.6XXA,"PASNGR IN 3-WHL MV INJ IN CLSN W 2/3-WHL MV IN TRAF, INIT",5
V33.0XXA,"DRIVER OF 3-WHL MV INJ PK-UP TRUCK, PK-UP/VAN NONTRAF, INIT",1
V33.5XXA,"DRIVER OF 3-WHL MV INJ PK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",14
V33.6XXA,"PASNGR IN 3-WHL MV INJ PK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",2
V33.9XXA,"OCCUP OF 3-WHL MV INJ PICK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",3
V34.5XXA,"DRIVER OF 3-WHL MV INJURED IN CLSN W HV VEH IN TRAF, INIT",3
V37.0XXA,"DRVR OF 3-WHL MV INJ IN CLSN W STATNRY OBJECT NONTRAF, INIT",8
V37.5XXA,"DRVR OF 3-WHL MV INJ IN CLSN W STATNRY OBJECT IN TRAF, INIT",12
V37.9XXA,"OCCUP OF 3-WHL MV INJ IN CLSN W STATNRY OBJECT IN TRAF, INIT",1
V38.0XXA,"DRIVER OF 3-WHL MV INJ IN NONCLSN TRNSP ACC NONTRAF, INIT",49
V38.0XXD,"DRIVER OF 3-WHL MV INJ IN NONCLSN TRNSP ACC NONTRAF, SUBS",1
V38.0XXS,"DRIVER OF 3-WHL MV INJ IN NONCLSN TRNSP ACC NONTRAF, SEQUELA",1
V38.1XXA,"PASNGR IN 3-WHL MV INJ IN NONCLSN TRNSP ACC NONTRAF, INIT",4
V38.2XXA,"PERSON OUTSD 3-WHL MV INJ IN NONCLSN TRNSP ACC NONTRAF, INIT",1
V38.3XXA,"OCCUP OF 3-WHL MV INJURED IN NONCLSN TRNSP ACC NONTRAF, INIT",4
V38.4XXA,"PRSN BRD/ALIT A 3-WHL MV INJURED IN NONCLSN TRNSP ACC, INIT",2
V38.5XXA,"DRIVER OF 3-WHL MV INJ IN NONCLSN TRNSP ACC IN TRAF, INIT",14
V38.6XXA,"PASNGR IN 3-WHL MV INJ IN NONCLSN TRNSP ACC IN TRAF, INIT",8
V38.9XXA,"OCCUP OF 3-WHL MV INJURED IN NONCLSN TRNSP ACC IN TRAF, INIT",4
V39.3XXA,"OCCUPANT (DRIVER) OF 3-WHL MV INJURED IN UNSP NONTRAF, INIT",18
V39.40XA,"DRIVER OF 3-WHL MV INJURED IN CLSN W UNSP MV IN TRAF, INIT",7
V39.49XA,"DRIVER OF 3-WHL MV INJURED IN CLSN W OTH MV IN TRAF, INIT",7
V39.59XA,"PASSENGER IN 3-WHL MV INJURED IN CLSN W OTH MV IN TRAF, INIT",3
V39.60XA,"OCCUP OF 3-WHL MV INJURED IN CLSN W UNSP MV IN TRAF, INIT",2
V39.89XA,"OCCUPANT (DRIVER) OF 3-WHL MV INJURED IN OTH TRNSP ACC, INIT",17
V39.9XXA,"OCCUPANT (DRIVER) OF 3-WHL MV INJURED IN UNSP TRAF, INIT",14
V39.9XXD,"OCCUPANT (DRIVER) OF 3-WHL MV INJURED IN UNSP TRAF, SUBS",1
V40.0XXA,"CAR DRIVER INJURED IN COLLISION W PED/ANML NONTRAF, INIT",31
V40.0XXD,"CAR DRIVER INJURED IN COLLISION W PED/ANML NONTRAF, SUBS",1
V40.1XXA,"CAR PASSENGER INJURED IN COLLISION W PED/ANML NONTRAF, INIT",11
V40.2XXA,"PERSON OUTSIDE CAR INJURED IN CLSN W PED/ANML NONTRAF, INIT",58
V40.2XXD,"PERSON OUTSIDE CAR INJURED IN CLSN W PED/ANML NONTRAF, SUBS",3
V40.3XXA,"UNSP CAR OCCUPANT INJURED IN CLSN W PED/ANML NONTRAF, INIT",4
V40.5XXA,"CAR DRIVER INJURED IN COLLISION W PED/ANML IN TRAF, INIT",227
V40.5XXD,"CAR DRIVER INJURED IN COLLISION W PED/ANML IN TRAF, SUBS",1
V40.6XXA,"CAR PASSENGER INJURED IN COLLISION W PED/ANML IN TRAF, INIT",70
V40.7XXA,"PERSON OUTSIDE CAR INJURED IN CLSN W PED/ANML IN TRAF, INIT",175
V40.7XXD,"PERSON OUTSIDE CAR INJURED IN CLSN W PED/ANML IN TRAF, SUBS",11
V40.7XXS,"PERSON OUTSIDE CAR INJ IN CLSN W PED/ANML IN TRAF, SEQUELA",2
V40.9XXA,"UNSP CAR OCCUPANT INJURED IN CLSN W PED/ANML IN TRAF, INIT",59
V40.9XXD,"UNSP CAR OCCUPANT INJURED IN CLSN W PED/ANML IN TRAF, SUBS",3
V40.9XXS,"UNSP CAR OCC INJURED IN CLSN W PED/ANML IN TRAF, SEQUELA",1
V41.0XXA,"CAR DRIVER INJURED IN COLLISION W PEDAL CYCLE NONTRAF, INIT",2
V41.2XXA,"PERSON OUTSIDE CAR INJURED IN CLSN W PEDL CYC NONTRAF, INIT",7
V41.3XXA,"UNSP CAR OCCUPANT INJURED IN CLSN W PEDL CYC NONTRAF, INIT",1
V41.4XXA,"PRSN BRD/ALIT A CAR INJURED IN COLLISION W PEDAL CYCLE, INIT",1
